record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,EPLK,RW28,09843,2810,N51324907,E019121130,,00631,0000,50,197,IAS,,S,Simulation application continuation,,,,16717,2402,SEEUP EPLKEPGRW28    1098432810 N51324907E019121130               00631000050197 IAS  0489                                 ,SEEUP EPLKEPGRW28    2S                            28724Y        T00639                                                    
S,EEU,P,G,EPLL,RW07,08202,0650,N51425840,E019221988,,00592,0000,50,148,,,S,Simulation application continuation,,,,16901,2409,SEEUP EPLLEPGRW07    1082020650 N51425840E019221988         +0214300592000050148      0000                                 ,SEEUP EPLLEPGRW07    2S                            07100Y        L00592                                                    
S,EEU,P,G,EPLL,RW25,08202,2450,N51432521,E019242275,,00607,0000,50,148,LOD,,S,Simulation application continuation,,,,16903,2409,SEEUP EPLLEPGRW25    1082022450 N51432521E019242275         +0218600607000050148 LOD  0000                                 ,SEEUP EPLLEPGRW25    2S                            25100Y        L00607                                                    
S,EEU,P,G,EPLU,RW13L,03281,1270,N51253335,E016112645,,00507,0000,40,098,,,S,Simulation application continuation,,,,16930,1912,SEEUP EPLUEPGRW13L   1032811270 N51253335E016112645               00507000040098      0000                                 ,SEEUP EPLUEPGRW13L   2S                            13000Y        A00507                                                    
S,EEU,P,G,EPLU,RW31R,03281,3070,N51251243,E016120594,,00507,0000,40,098,,,S,Simulation application continuation,,,,16932,1912,SEEUP EPLUEPGRW31R   1032813070 N51251243E016120594               00507000040098      0000                                 ,SEEUP EPLUEPGRW31R   2S                            31000Y        A00507                                                    
S,EEU,P,G,EPLY,RW10,08202,0980,N52002757,E019073454,,00377,0000,50,197,,,S,Simulation application continuation,,,,16988,2105,SEEUP EPLYEPGRW10    1082020980 N52002757E019073454               00377000050197      0000                                 ,SEEUP EPLYEPGRW10    2S                            10400Y        L00377                                                    
S,EEU,P,G,EPLY,RW28,08202,2780,N52000838,E019094187,,00403,0000,50,197,,,S,Simulation application continuation,,,,16990,2105,SEEUP EPLYEPGRW28    1082022780 N52000838E019094187               00403000050197      0000                                 ,SEEUP EPLYEPGRW28    2S                            28400Y        L00403                                                    
S,EEU,P,G,EPMB,RW07,08202,0720,N54012796,E019070083,,00019,0000,50,164,,,S,Simulation application continuation,,,,17091,2410,SEEUP EPMBEPGRW07    1082020720 N54012796E019070083               00019000050164      0492                                 ,SEEUP EPMBEPGRW07    2S                            07900Y        L00019                                                    
S,EEU,P,G,EPMB,RW25,08202,2520,N54014324,E019091566,,00018,0000,50,164,IMB,,S,Simulation application continuation,,,,17093,2410,SEEUP EPMBEPGRW25    1082022520 N54014324E019091566               00018000050164 IMB  0459                                 ,SEEUP EPMBEPGRW25    2S                            25900Y        L00018                                                    
S,EEU,P,G,EPMI,RW12,08202,1200,N53240509,E016040263,,00493,0000,50,148,,,S,Simulation application continuation,,,,17139,2008,SEEUP EPMIEPGRW12    1082021200 N53240509E016040263               00493000050148      0492                                 ,SEEUP EPMIEPGRW12    2S                            12500Y        L00493                                                    
