record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,,,,BT,UW,11225,DH,,,BT,N54491200,E046345700,,00689,2,,,WGE,ALATYR,SEEUD        BT    UW111225 DH                     BT  N54491200E046345700     006892     WGEALATYR                        ,S,Simulation application continuation,SEEUD        BT    UW2S    UN                                             E0131                                            
S,EEU,D,,,,,BTG,UE,11350,VDHW,N67384500,E134414700,,N67384500,E134414700,W0180,00689,2,,,WGE,BATAGAY,SEEUD        BTG   UE111350VDHW N67384500E134414700    N67384500E134414700W0180006892     WGEBATAGAY                       ,S,Simulation application continuation,SEEUD        BTG   UE2S    UN                                             W018000689                                       
S,EEU,D,,,,,BTM,UG,10840,DH,,,BTM,N41362300,E041360620,,00100,2,,397,WGE,BATUMI,SEEUD        BTM   UG110840 DH                     BTM N41362300E041360620     001002  397WGEBATUMI                        ,S,Simulation application continuation,SEEUD        BTM   UG2S    UN                                             E0069                                            
S,EEU,D,,,,,BTO,ZB,11590,VDHW,N38061800,E116343600,,N38061800,E116343600,W0060,00001,2,,523,WGE,POTOU,SEEUD        BTO   ZB111590VDHW N38061800E116343600    N38061800E116343600W0060000012  523WGEPOTOU                         ,S,Simulation application continuation,SEEUD        BTO   ZB2S    UN                                             W0071                                            
S,EEU,D,,,,,BUD,LH,11730,VDHA,N47270160,E019145800,,N47270140,E019145750,E0050,00531,2,,387,WGE,BUDAPEST,SEEUD        BUD   LH111730VDHA N47270160E019145800    N47270140E019145750E0050005312  387WGEBUDAPEST                      ,S,Simulation application continuation,SEEUD        BUD   LH2S    UN                                             E0057                                            
S,EEU,D,,,,,BUG,LH,11340,VDH,N46404000,E019405400,,N46404000,E019405400,E0050,00407,2,,338,WGE,BUGAC,SEEUD        BUG   LH111340VDH  N46404000E019405400    N46404000E019405400E0050004072  338WGEBUGAC                         ,S,Simulation application continuation,SEEUD        BUG   LH2S    UN                                             E005700407                                       
S,EEU,D,,,,,BUL,ZM,11590,DL,,,BUL,N48511500,E103290300,,04331,1,,,WGE,BULGAN,SEEUD        BUL   ZM111590 DL                     BUL N48511500E103290300     043311     WGEBULGAN                        ,S,Simulation application continuation,SEEUD        BUL   ZM2S    UN                                             W0040                                            
S,EEU,D,,,,,BW,UH,11100,DH,,,BW,N63021700,E179181400,,00098,2,,,WGE,BERINGOVSKIY,SEEUD        BW    UH111100 DH                     BW  N63021700E179181400     000982     WGEBERINGOVSKIY                  ,S,Simulation application continuation,SEEUD        BW    UH2S    UN                                             E0001                                            
S,EEU,D,,,,,BW,UL,11100,DH,,,BW,N63493800,E057170900,,00394,2,,553,WGE,VUKTYL,SEEUD        BW    UL111100 DH                     BW  N63493800E057170900     003942  553WGEVUKTYL                        ,S,Simulation application continuation,SEEUD        BW    UL2S    UN                                             E0215                                            
S,EEU,D,,,,,BW,UW,11040,DH,,,BW,N51534000,E047472700,,00200,2,,242,WGE,BALAKOVO,SEEUD        BW    UW111040 DH                     BW  N51534000E047472700     002002  242WGEBALAKOVO                      ,S,Simulation application continuation,SEEUD        BW    UW2S    UN                                             E0116                                            
S,EEU,D,,,,,BYZ,EP,11270,VDH,N53055430,E017581820,,N53055430,E017581820,E0060,00300,2,,336,WGE,BYDGOSZCZ,SEEUD        BYZ   EP111270VDH  N53055430E017581820    N53055430E017581820E0060003002  336WGEBYDGOSZCZ                     ,S,Simulation application continuation,SEEUD        BYZ   EP2S    UN                                             E006300300                                       
S,EEU,D,,,,,BZW,US,11160,VDHW,N63552000,E065025200,,N63552000,E065025200,E0210,00100,2,,404,WGE,BEREZOVO,SEEUD        BZW   US111160VDHW N63552000E065025200    N63552000E065025200E0210001002  404WGEBEREZOVO                      ,S,Simulation application continuation,SEEUD        BZW   US2S    UY                                             E021600100                                       
S,EEU,D,,,,,CDX,ZU,11635,VDHW,N31150000,E104224800,,N31150000,E104224800,W0020,01772,2,,,WGE,DEXIN,SEEUD        CDX   ZU111635VDHW N31150000E104224800    N31150000E104224800W0020017722     WGEDEXIN                         ,S,Simulation application continuation,SEEUD        CDX   ZU2S    UN                                             W002601772                                       
S,EEU,D,,,,,CEH,ZP,11340,VDHW,N26395400,E100431200,,N26395400,E100431200,W0010,08625,2,,390,WGE,CHENGHAI,SEEUD        CEH   ZP111340VDHW N26395400E100431200    N26395400E100431200W0010086252  390WGECHENGHAI                      ,S,Simulation application continuation,SEEUD        CEH   ZP2S    UY                                             W001508625                                       
